sa2_code,sa2_name,twitter_count,user_count,avg_score,pos_count,neu_count,neg_count
209011200,Ivanhoe,642,212,0.15857366375973492,218,340,84
209011201,Ivanhoe East - Eaglemont,791,122,0.20194714631298152,361,310,120
209011202,Montmorency - Briar Hill,1173,159,0.14382284833571576,366,670,137
209011203,Viewbank - Yallambie,1283,116,0.13221397405148658,446,650,187
209011204,Watsonia,366,83,0.152609508781711,141,173,52
211011258,Rowville - South,537,93,0.14487880089506508,232,200,105
210031438,Glenroy,1058,184,0.12397663860500782,347,552,159
206021111,Northcote,3546,1003,0.18235979129926475,1472,1598,476
209041430,Doreen,552,78,0.17030574945738688,224,236,92
209041431,Epping - East,251,52,0.17129642848989793,85,140,26
209041432,Epping - South,1826,214,0.0678247919097968,445,1141,240
209041433,Epping - West,282,72,0.136212940251126,97,138,47
209041434,Mernda,1799,104,0.10684642425424135,700,687,412
209041435,South Morang (North),903,47,0.12953870813612656,460,236,207
209041436,South Morang (South),985,111,0.17249978510193759,451,358,176
206041117,Carlton,8243,3219,0.16282893912203072,2780,4639,824
206041118,Docklands,10283,4381,0.17567316197194272,3733,5589,961
206041119,East Melbourne,17801,8158,0.19602539707866187,6716,9542,1543
206041120,Flemington Racecourse,2378,1224,0.22664396510367144,991,1208,179
206041121,Kensington (Vic.),14383,526,-0.03606757458839848,829,7423,6131
206041122,Melbourne,95474,21410,0.17799681790885366,32167,56428,6879
206041123,North Melbourne,27748,1895,-0.026938007507202384,1950,15104,10694
206041124,Parkville,4643,1700,0.1398238610287327,1435,2668,540
206041125,South Yarra - West,1875,663,0.17417064424632517,735,890,250
206041126,Southbank,25892,9903,0.20408118119145258,9588,14211,2093
206041127,West Melbourne,800,415,0.1431208906238341,285,419,96
209031209,Eltham,956,300,0.17230393243848943,386,431,139
209031210,Hurstbridge,143,48,0.17897076967817085,57,72,14
209031211,Kinglake,199,63,0.1872351068329621,84,98,17
209031212,Panton Hill - St Andrews,298,91,0.07586325042265675,85,165,48
212021293,Berwick - North,743,227,0.20434434563365012,332,320,91
212021294,Berwick - South,549,130,0.24825829940041888,257,216,76
209031215,Wattle Glen - Diamond Creek,556,103,0.1943871486094223,248,234,74
212031303,Cranbourne South,607,77,0.20330034628182816,286,219,102
212021297,Hallam,663,112,0.17560800050587758,240,333,90
212021299,Narre Warren North,176,62,0.20613658562211729,80,71,25
210011230,Niddrie - Essendon West,569,96,0.1909483233246313,260,208,101
206031113,Ascot Vale,1116,342,0.17311343868661547,451,501,164
212041311,Dandenong,3987,522,0.12552790280621778,1327,2152,508
206031114,Essendon - Aberfeldie,2458,553,0.1349264563585731,847,1219,392
207011152,Hawthorn East,2571,554,0.21762959396315587,1122,1131,318
206031115,Flemington,1137,303,0.1511652338609136,357,641,139
208021174,Bentleigh - McKinnon,1707,338,0.2230607248304541,792,674,241
213051464,Point Cook - East,648,138,0.14356434878473187,240,299,109
206031116,Moonee Ponds,2375,656,0.2179607985416602,1096,986,293
213051466,Point Cook - South,668,104,0.10572589465480674,193,391,84
213051467,Werribee - East,715,149,0.12251010490511158,259,319,137
213051468,Werribee - West,750,154,0.12172782665177129,281,327,142
214011372,Frankston North,1367,179,0.20559438117455597,616,534,217
213041359,Rockbank - Mount Cottrell,416,115,0.1123620942049193,125,246,45
206061135,Armadale,2482,490,0.12146660676142866,780,1385,317
206061136,Prahran - Windsor,7567,2087,0.18687616932304055,2839,3925,803
206061137,South Yarra - East,7204,2147,0.21504981084354574,2945,3577,682
206061138,Toorak,1835,506,0.18796992742519483,764,805,266
208021177,Caulfield - North,4043,803,0.11852529566564506,1368,2014,661
207021156,Bulleen,1681,205,0.20101867826750935,705,693,283
210011226,Airport West,388,153,0.13359175829708084,142,180,66
210011227,Essendon Airport,377,244,0.10967026909326648,109,212,56
210011228,Keilor,807,229,0.12585441337415865,264,416,127
210011229,Keilor East,1640,304,0.10508443377259366,630,657,353
212041310,Clayton South,2544,126,0.18116148382214692,717,1539,288
210011231,Strathmore,462,153,0.17462874269382894,188,207,67
212041312,Dandenong North,1168,135,0.11931132748135008,448,484,236
212041313,Dingley Village,444,80,0.21080457868884844,205,191,48
212041314,Keysborough,1184,205,0.12939192774260713,410,600,174
208021179,Elsternwick,1155,410,0.21500585722087912,462,582,111
212041316,Noble Park North,385,60,0.2567892655911969,122,237,26
207021157,Doncaster,1159,494,0.15374122565440052,374,659,126
212041318,Springvale South,499,75,0.08532292326522428,127,287,85
207021159,Templestowe,612,163,0.1822666006108511,213,328,71
207021160,Templestowe Lower,546,125,0.1356689499519622,200,240,106
208021180,Hughesdale,276,125,0.19066266032823165,115,121,40
210051442,Craigieburn - North,749,88,0.19852378027990641,303,359,87
207021425,Doncaster East (South),416,111,0.2165919677619798,185,176,55
208021427,Bentleigh East (South),650,123,0.16896594321558903,257,314,79
211051285,Wandin - Seville,395,181,0.23500477455640106,173,184,38
210031236,Coburg North,885,204,0.15284524103177005,317,448,120
210031237,Fawkner,591,117,0.12846997550330957,192,300,99
210031239,Pascoe Vale,1024,204,0.1646806882467547,360,513,151
209021207,Reservoir - East,1753,247,0.09371421802408841,589,824,340
212031458,Narre Warren South (West),248,70,0.20447281116302113,111,95,42
207031161,Blackburn,989,246,0.1451641649804584,334,519,136
209021208,Reservoir - West,1204,250,0.14765927474270213,381,680,143
213051361,Hoppers Crossing - North,1610,199,0.20584895103544923,730,665,215
213021341,Altona,1533,330,0.2119467959955839,654,683,196
213021342,Altona Meadows,588,132,0.1318611112988687,202,297,89
213021343,Altona North,1334,219,0.10750239480265303,454,661,219
213021344,Newport,1839,530,0.21314362158961755,764,855,220
207021424,Doncaster East (North),619,124,0.19064777125496543,271,266,82
213021346,Williamstown,2471,612,0.21399776305321525,1044,1153,274
210051441,Craigieburn - Central,420,81,0.19040108959340268,157,217,46
210051242,Broadmeadows,856,230,0.11325265426546806,249,500,107
210051243,Campbellfield - Coolaroo,1566,218,0.1050611939684335,492,842,232
210051245,Gladstone Park - Westmeadows,897,201,0.13223921034700994,328,417,152
210051246,Greenvale - Bulla,845,143,0.14457413307701547,307,421,117
209041437,Wollert,789,47,0.18908082427554387,303,380,106
210051248,Melbourne Airport,8476,5020,0.1361277327511586,2525,5084,867
210051249,Roxburgh Park - Somerton,1208,143,0.2573314735728995,475,620,113
210051250,Tullamarine,751,212,0.1285146160877962,217,425,109
211011251,Bayswater,992,145,0.1459705021318095,446,327,219
210051443,Craigieburn - South,784,97,0.12590557827018045,289,363,132
211011254,Knoxfield - Scoresby,1909,207,0.21835180745447838,1027,766,116
211011255,Lysterfield,560,57,0.30801184074883176,329,188,43
208021176,Carnegie,1383,324,0.16627150935762058,519,688,176
211011257,Rowville - North,221,55,0.19219441641935237,89,103,29
208021178,Caulfield - South,842,235,0.19611173358683948,343,400,99
211011259,Wantirna,1509,133,0.2608386918348409,740,593,176
211011260,Wantirna South,1797,383,0.17040221686383222,724,800,273
208021181,Murrumbeena,533,175,0.1290274032552798,151,313,69
208021182,Ormond - Glen Huntly,1312,262,0.19361218948625336,443,724,145
213041353,Bacchus Marsh,616,192,0.16325235563162943,254,278,84
213041355,Hillside,1574,145,0.12856636923535195,604,663,307
213041356,Melton,504,148,0.13174285683216472,190,213,101
212021453,Endeavour Hills - North,253,78,0.16467111150423686,100,111,42
212021454,Endeavour Hills - South,588,55,0.11441927744322512,214,259,115
213041357,Melton South,1919,213,0.08966796820181523,510,1148,261
213041360,Taylors Hill,702,122,0.13051123041229754,281,265,156
211011448,Ferntree Gully (South) - Upper Ferntree Gully,1201,147,0.1710650794802651,543,425,233
213041358,Melton West,470,119,0.13847578661944762,165,219,86
212051321,Glen Waverley - East,1676,159,0.3025793434336027,888,586,202
212021455,Narre Warren - North East,571,51,0.24314585896538138,262,235,74
207031162,Blackburn South,611,85,0.1552225166425997,177,376,58
212041309,Clarinda - Oakleigh South,280,83,0.15517395246167515,84,166,30
211031263,Bayswater North,793,108,0.2862386424039493,383,345,65
211051279,Monbulk - Silvan,305,169,0.2829748116769737,147,119,39
206011105,Brunswick,7354,1735,0.16601567610621934,2785,3628,941
211031266,Ringwood,1745,467,0.1616750754129952,676,846,223
206011107,Brunswick West,1405,301,0.1730720517933326,599,594,212
206011108,Coburg,1993,559,0.14952861472685908,704,1013,276
206011109,Pascoe Vale South,618,127,0.2685238271480971,307,241,70
207031164,Box Hill North,701,126,0.15042192033370552,235,377,89
208041194,Malvern - Glen Iris,1726,575,0.19088605378979265,660,876,190
208041195,Malvern East,3155,1090,0.15894432334581743,1057,1795,303
207031165,Burwood,2393,376,0.12128491421602376,484,1705,204
212041459,Noble Park - East,563,119,0.16554759902879596,248,216,99
212041460,Noble Park - West,850,126,0.19243452674245454,386,342,122
207031166,Burwood East,974,227,0.14330507605927548,286,594,94
208031190,Mentone,1111,218,0.10911427148688814,401,499,211
